Episode,Reward
1,-80
2,-90
3,-20
4,-30
5,-20
6,-60
7,-40
8,-60
9,-30
10,-80
11,-20
12,-80
13,-50
14,-60
15,-100
16,-20
17,-40
18,-20
19,-30
20,-60
21,-40
22,-70
23,-80
24,-40
25,-50
26,-50
27,-40
28,-80
29,-80
30,-40
31,-40
32,-60
33,-20
34,-70
35,-40
36,-80
37,-50
38,-40
39,-60
40,-30
41,-80
42,-20
43,-50
44,-40
45,-40
46,-10
47,-20
48,-20
49,-30
50,-10
51,-30
52,-50
53,-40
54,-90
55,-20
56,-50
57,-20
58,-60
59,-30
60,-20
61,-40
62,-20
63,-70
64,-30
65,-20
66,-10
67,-20
68,-30
69,-30
70,-50
71,-10
72,-30
73,0
74,-60
75,-10
76,-20
77,-20
78,-20
79,-50
80,-20
81,-20
82,-60
83,-20
84,-30
85,-30
86,-10
87,-10
88,-50
89,-40
90,0
91,-50
92,-20
93,-30
94,-30
95,-20
96,-30
97,-70
98,-20
99,-60
100,-60
101,-60
102,-40
103,-10
104,-20
105,-10
106,-20
107,-10
108,-30
109,-20
110,-10
111,-60
112,-30
113,-40
114,-30
115,-40
116,-20
117,-70
118,-10
119,-40
120,-10
121,-10
122,-40
123,-20
124,-30
125,-20
126,-20
127,-20
128,-10
129,-20
130,-20
131,-20
132,0
133,-40
134,-60
135,0
136,-40
137,-20
138,-20
139,-60
140,-20
141,-30
142,0
143,-10
144,-30
145,0
146,-20
147,-20
148,-20
149,0
150,-10
151,-10
152,-50
153,-10
154,-40
155,-30
156,-20
157,-20
158,-30
159,-30
160,-30
161,-10
162,-40
163,-10
164,-10
165,-10
166,-20
167,0
168,0
169,-40
170,0
171,-20
172,-10
173,-20
174,-20
175,-20
176,-30
177,-10
178,-40
179,-20
180,-20
181,-10
182,-30
183,-20
184,-10
185,-10
186,-10
187,-20
188,-20
189,-20
190,-20
191,-30
192,-30
193,-40
194,-10
195,-30
196,-40
197,-10
198,-20
199,-10
200,-20
201,-10
202,-30
203,-10
204,-20
205,-20
206,-40
207,-30
208,-30
209,-20
210,-10
211,-10
212,-10
213,-10
214,0
215,-10
216,0
217,-40
218,0
219,-20
220,-10
221,-20
222,0
223,-20
224,-40
225,-30
226,-20
227,-20
228,-40
229,-30
230,-20
231,-20
232,-10
233,0
234,-40
235,0
236,-20
237,-20
238,-20
239,-30
240,-30
241,-30
242,-20
243,-10
244,-10
245,-20
246,-30
247,-10
248,0
249,0
250,-10
251,-30
252,0
253,0
254,0
255,0
256,-30
257,-10
258,-10
259,0
260,0
261,-10
262,0
263,-20
264,-10
265,-30
266,-10
267,-10
268,-20
269,-30
270,-10
271,0
272,0
273,-20
274,0
275,0
276,-20
277,-10
278,-10
279,0
280,-20
281,0
282,-20
283,0
284,-10
285,0
286,-10
287,0
288,-40
289,0
290,-20
291,0
292,-10
293,0
294,-20
295,-40
296,0
297,0
298,0
299,0
300,-20
301,0
302,0
303,-20
304,0
305,0
306,-40
307,0
308,-10
309,0
310,-10
311,-20
312,-10
313,-10
314,0
315,-10
316,-10
317,-40
318,0
319,0
